"商品コード","商品名","仕入先コード","仕入先名","在庫数","引当数","フリー在庫数","不良在庫数","欠品数","発注残数","商品区分","商品タグ","取扱区分","適正在庫数","発注点","ロット","原価","売価","在庫金額","表示価格","ＪＡＮコード"
"mg-ca02-ny","コーデガン-ネイビー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","30","3080.00","9980.00","0.00","","4580604900730"
"mg-ca02-wt","穏やかな日のブランケットコート【裏起毛オフホワイト】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","3080.00","9980.00","0.00","","4580604900747"
"mg-ca03-ca","ブランケットコートアウター_キャメル","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4840.00","8900.00","0.00","","4580604900754"
"mg-ca03-lg","ブランケットコートアウター_ライトグレー","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","4840.00","8900.00","0.00","","4580604900761"
"mg-co04-ka","リネンコート_グレーベージュ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","5060.00","12500.00","0.00","","4580604903939"
"mg-co04-wt","リネンコート_ホワイト","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","5060.00","12500.00","0.00","","4580604903922"
"mg-co05-be","暖かく包む中綿ステンカラーコート【ベージュ】","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","6930.00","16980.00","0.00","","4580604905131"
"mg-co05-bl","暖かく包む中綿ステンカラーコート【ブルー】","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","6930.00","16980.00","0.00","","4580604905148"
"mg-co06-ka","キルトコート_カーキ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","7359.00","16980.00","0.00","","4580605360267"
"mg-co07-S-ck","暖かロングウールコート【千鳥格子チェック柄】Sサイズ","9","ハピネス","0","0","0","0","0","0","通常","","取扱中止","0","0","0","15400.00","31450.00","0.00","","4580605360274"
"mg-co08-M-be","コットンガウンコート_ベージュ","9","ハピネス","10","0","10","0","0","0","通常","","取扱中","1","0","0","13090.00","25180.00","130900.00","","4580605360281"
"mg-co10-M-be","軽量で暖かモッズコート【ヴィンテージホワイト】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","9350.00","18400.00","0.00","",""
"mg-co10-M-ka","軽量で暖かモッズコート【ヴィンテージカーキ】","9","ハピネス","0","0","0","0","0","0","通常","","取扱中","0","0","0","9350.00","18400.00","0.00","",""
"mg-co12-bk","ダッフルコート_メンズ_黒","4","ラブリークィーン株式会社","0","0","0","0","0","0","通常","","取扱中止","0","0","0","7150.00","16450.00","0.00","","4580604900778"
